ONLINE AUCTION CLOSING - 10 JANUARY 2026 @ 4:00PM (SATURDAY),,,,
,,,,
,VEHICLE DETAILS,AUCTION STARTING PRICE,LOCATION,DRIVE LINK
1,C- -TOYOTA ETIOS LIVA GD RJ03CA9117 DIESEL 2016,105000,"INFINIUM MOTORS PVT LTD,PLOT NO 3 NEAR SABAR DAIRY ,BORIYA KHURAD HIMMATNAGAR ,GUJARAT ,383001,GUJARAT,HIMMATNAGAR",https://drive.google.com/drive/folders/1Yq9Gtgj7vjUlsJJ9cpjDtHObi9lcUGXJ
2,C- -HYUNDAI VERNA 1.5L SX MPI PB46AF6465 PETROL 2021,290000,"PNR MOTORS PVT LTD,BYE PASS VERKA,AMRITSAR,143001,PUNJAB,AMRITSAR",https://drive.google.com/drive/folders/1IpeUvu6d_3NjYtmyGcQHer1KWZPq8XHL
3,C- -HONDA NEW AMAZE 1.2 ZX CVT PB15Z1902 PETROL 2025,310000,"JOSHI AUTOMOTIVES PVT LTD,PLOT NO.67,INDUSTRIAL AREA,,PHASE - II,,160002,PUNJAB,CHANDIGARH",https://drive.google.com/drive/folders/1Sc8S9hgJS3CZSG_jzDBXgoJsbFsNPZzl
4,C- -TOYOTA URBAN CRUISER HYRYDER S AT NEO DRIVE MP09ZW5060 PETROL 2023,400000,"SHRI AUTOMOBILES INDORE PVT LTD,6 MANORAMAGANJ A B ROAD ,INDORE MADHYA PRADESH ,452001,MADHYA PRADESH,INDORE",https://drive.google.com/drive/folders/1KJlQu-vXafLgjRtmQre-6hfT0BqOQ5ov
5,C- -MARUTI INVICTO ALPHA PLUS HYBRID MP09AF3758 PETROL 2024,700000,"NIMAR MOTORS PVT LTD,SANAWAD ROAD ,JETAPUR KHARGONE,MADHYA PRADESH ,451001,MADHYA PRADESH,KHARGONE",https://drive.google.com/drive/folders/14rYRte6_97T8-vFSO3T-qFzOq3c2lesj
6,C- WITHOUT RC - M AND M XUV 700 AX5 DIESEL AT MH03EL1388 DIESEL 2024,350000,"AMBER AUTO,R S NO 111A/1/1,PAIKI 1VAVDI,PANCHAMAHAL,GODHRA,389001,GUJARAT,GODHRA",https://drive.google.com/drive/folders/1PXTYsakeQKHTNocv_Bm28irNseFngrTp
7,C- -TATA MOTORS SAFARI ADVENTURE PLUS AT MH04MF3670 DIESEL 2024,800000,"SP AUTOHUB,MIDC RATNAGIRI, GROUND FLOOR, PLOT NO. 3,,MIDC, RATNAGIRI KOLHAPUR HIGHWAY,,RATNAGIRI MIDC, RATNAGIRI,,RATNAGIRI MIDC,,415639,MAHARASHTRA,RATNAGIRI",https://drive.google.com/drive/folders/1rYl9qQDTfvlRJO-RXTH4E1BWhYCJtNsn
8,C- -HYUNDAI GRAND I10 SPORTZ 1.2 AT MH48AW3972 PETROL 2017,100000,"STS AUTO PVT LTD,PLOT NO J - 185 / 186,MIDC BOISAR,DIST PALGHAR,401506,MAHARASHTRA,BOISAR",https://drive.google.com/drive/folders/1iMdUN0Z6vVLTjsiwY4R_43bvWjVgqfQk
9,C- -M AND M SUPRO PROFITTRUCK MINI VX PICKUP VAN MH25AJ8792 DIESEL 2025,220000,"INDOMOBILE SALES SERVICES PVT. LT,INDO HOUSE, P-52, MIDC, LATUR, MAHARASHTRA - 413512,MM446,413512,MAHARASHTRA,LATUR",https://drive.google.com/drive/folders/141xmNi_uqEHYX1SG11CqtFlSQeP5N_mR
10,C- -MARUTI SWIFT DZIRE VXI. MH46W6195 PETROL-CNG 2013,100000,"KOTHARI AUTO WHEELS PRIVATE LIMITED,SR NO 110A, ,THE KOTHARI WHEELS,,PUNE SOLAPUR ROAD, PUNE,RAMTEKADI INDUSTRIA,411013,MAHARASHTRA,PUNE",https://drive.google.com/drive/folders/1tl5lufzGk0LlYnX4vgZ9ulclShrT8-2A
11,C- -TOYOTA INNOVA CRYSTA 2.4 V MH12TH7672 DIESEL 2021,800000,"MAKS AUTOMOTIVE PVT LTD,GAT NO. 2328 ,, 11TH MILESTONE,, NAGAR ROAD , WAGHOLI ,,412207,MAHARASHTRA,PUNE",https://drive.google.com/drive/folders/1_gc6HMczU_3hhTMyfR5k-iRQotBPzVkH
12,C- -TATA MOTORS TIAGO REVOTRON XZA MH12XT8665 PETROL 2025,275000,"PANCHAJANYA AUTOMOBILE,GROUND MAZENINE FLOOR, 688/2B,SHRI SAI VENKATA TRADE CENTER,PUNE NASIK ROAD,BHOSARI,411039,MAHARASHTRA,PUNE",https://drive.google.com/drive/folders/1xVXYRIXs8WX5SwDWEFgFDLChxq0mQGl1
